name,team_code,team_name,pos,credits,min_proj,pts,reb,ast,stl,blk,tov,pdk,gp,min_total
Ivan Kharchenkov,BAY,FC Bayern Munich,G,0.0,7.0,66.0,17.0,12.0,4.0,2.0,21.0,32.2,23.0,161.0
Ivan Volf,BAY,FC Bayern Munich,G,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,7.0
Bonzie Colson,FBB,Fenerbahce Beko Istanbul,F,7.6,18.46,260.0,137.0,21.0,26.0,10.0,30.0,285.6,39.0,720.0
Wade Baldwin Iv,FBB,Fenerbahce Beko Istanbul,G,11.6,24.22,300.0,72.0,101.0,24.0,3.0,58.0,319.4,27.0,654.0
Marko Guduric,FBB,Fenerbahce Beko Istanbul,G,10.7,22.03,391.0,94.0,112.0,26.0,2.0,72.0,463.8,36.0,793.0
Dyshawn Pierre,FBB,Fenerbahce Beko Istanbul,F,5.7,11.56,83.0,51.0,20.0,7.0,4.0,9.0,130.8,25.0,289.0
Tarik Biberovic,FBB,Fenerbahce Beko Istanbul,F,8.8,22.49,384.0,114.0,52.0,19.0,6.0,45.0,338.8,37.0,832.0
Nigel Hayes-davis,FBB,Fenerbahce Beko Istanbul,F,17.2,31.33,650.0,206.0,65.0,44.0,13.0,55.0,768.1,39.0,1222.0
Melih Mahmutoglu,FBB,Fenerbahce Beko Istanbul,G,4.0,5.5,14.0,2.0,1.0,0.0,0.0,2.0,6.3,6.0,33.0
Scottie Wilbekin,FBB,Fenerbahce Beko Istanbul,G,6.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Metecan Birsen,FBB,Fenerbahce Beko Istanbul,F,4.0,3.5,4.0,4.0,0.0,0.0,0.0,1.0,5.7,2.0,7.0
Sertac Sanli,FBB,Fenerbahce Beko Istanbul,C,5.0,13.06,182.0,80.0,22.0,14.0,15.0,20.0,188.6,33.0,431.0
Devon Hall,FBB,Fenerbahce Beko Istanbul,G,8.4,23.47,249.0,70.0,106.0,16.0,2.0,41.0,302.9,32.0,751.0
Nicolo Melli,FBB,Fenerbahce Beko Istanbul,F,8.5,17.29,188.0,154.0,43.0,21.0,15.0,28.0,280.0,38.0,657.0
Arturs Zagars,FBB,Fenerbahce Beko Istanbul,G,6.0,14.91,129.0,25.0,51.0,9.0,1.0,29.0,136.8,22.0,328.0
Mert Eksioglu,FBB,Fenerbahce Beko Istanbul,G,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Khem Birch,FBB,Fenerbahce Beko Istanbul,C,6.3,13.67,125.0,132.0,21.0,15.0,15.0,31.0,200.5,36.0,492.0
Errick Mccollum,FBB,Fenerbahce Beko Istanbul,G,11.3,18.44,200.0,38.0,32.0,10.0,8.0,13.0,219.5,18.0,332.0
Jilson Bango,FBB,Fenerbahce Beko Istanbul,C,6.7,7.0,27.0,18.0,1.0,2.0,1.0,5.0,33.0,10.0,70.0
Paris Lee,ASV,LDLC ASVEL Villeurbanne,G,0.0,22.0,215.0,38.0,81.0,21.0,1.0,28.0,190.7,26.0,572.0
Tarik Black,ASV,LDLC ASVEL Villeurbanne,C,0.0,10.32,104.0,65.0,11.0,4.0,4.0,30.0,96.3,28.0,289.0
Benjamin Bentil,ASV,LDLC ASVEL Villeurbanne,F,0.0,13.11,40.0,21.0,4.0,2.0,0.0,5.0,34.8,9.0,118.0
David Lighty,ASV,LDLC ASVEL Villeurbanne,F,0.0,19.45,146.0,59.0,34.0,17.0,2.0,21.0,112.6,33.0,642.0
Nando De Colo,ASV,LDLC ASVEL Villeurbanne,G,0.0,20.59,368.0,55.0,143.0,24.0,1.0,76.0,436.0,32.0,659.0
Joffrey Lauvergne,ASV,LDLC ASVEL Villeurbanne,C,0.0,20.26,214.0,94.0,21.0,9.0,4.0,19.0,260.2,19.0,385.0
Charles Kahudi,ASV,LDLC ASVEL Villeurbanne,F,0.0,12.21,46.0,17.0,2.0,2.0,1.0,10.0,26.1,14.0,171.0
Mbaye Ndiaye,ASV,LDLC ASVEL Villeurbanne,F,0.0,19.5,101.0,41.0,11.0,9.0,8.0,15.0,105.5,14.0,273.0
Edwin Jackson,ASV,LDLC ASVEL Villeurbanne,G,0.0,15.05,80.0,32.0,14.0,5.0,0.0,12.0,43.4,22.0,331.0
