id,gp,first_name,last_name,team_id,team_code,team_name,position,position_id,cr,pdk,min,starter,pts,ast,reb,stl,blk,blka,fgm,fgm_tot,fga,fga_tot,tpm,tpm_tot,tpa,tpa_tot,ftm,ftm_tot,fta,fta_tot,oreb,dreb,tov,pf,fouls_received,plus_minus,fgp,tpp,ftp,slug
1265,29,Georgios,Papagiannis,33,ASM,AS Monaco,C,3,8.5,273.80,479,2,211,15,99,14,39,3,91,91.00,148,148.00,11,11.00,28,28.00,18,18.00,20,20.00,31,68,18,66,23,45,61.5,39.3,90.0,georgios-papagiannis
1288,31,Mam,Jaiteh,33,ASM,AS Monaco,C,3,8.2,297.80,454,7,234,18,123,14,8,7,99,99.00,151,151.00,0,0,0,0,36,36.00,57,57.00,48,75,34,65,61,26,65.6,0.0,63.2,mam-jaiteh
1356,13,Nick,Calathes,33,ASM,AS Monaco,G,1,6.3,62.70,228,7,48,50,29,11,1,2,21,21.00,58,58.00,6,6.00,29,29.00,0,0,2,2.00,4,25,19,26,5,6,36.2,20.7,0.0,nick-calathes
1450,41,Mike,James,33,ASM,AS Monaco,G,1,17.4,759.30,1203,41,653,236,121,45,2,23,210,210.00,529,529.00,76,76.00,230,230.00,157,157.00,199,199.00,14,107,77,72,191,53,39.7,33.0,78.9,mike-james
1452,41,Matthew,Strazel,33,ASM,AS Monaco,G,1,8.1,352.50,830,9,341,98,50,21,1,11,107,107.00,238,238.00,57,57.00,139,139.00,70,70.00,83,83.00,19,31,43,81,98,34,45.0,41.0,84.3,matthew-strazel
1454,29,Donatas,Motiejunas,33,ASM,AS Monaco,C,3,6.7,233.50,427,24,186,27,91,10,8,3,76,76.00,132,132.00,9,9.00,19,19.00,25,25.00,46,46.00,35,56,26,57,59,16,57.6,47.4,54.3,donatas-motiejunas
1455,35,Alpha,Diallo,33,ASM,AS Monaco,F,2,11.6,455.70,930,27,403,61,140,36,11,13,162,162.00,288,288.00,33,33.00,75,75.00,46,46.00,69,69.00,52,88,42,106,87,36,56.3,44.0,66.7,alpha-diallo
1457,40,Jaron,Blossomgame,33,ASM,AS Monaco,F,2,9.2,387.90,963,25,309,21,165,18,7,7,124,124.00,240,240.00,24,24.00,77,77.00,37,37.00,58,58.00,52,113,18,82,89,73,51.7,31.2,63.8,jaron-blossomgame
1458,35,Jordan,Loyd,33,ASM,AS Monaco,G,1,8.5,335.90,742,19,329,60,101,21,4,3,107,107.00,241,241.00,45,45.00,122,122.00,70,70.00,78,78.00,21,80,38,99,81,125,44.4,36.9,89.7,jordan-loyd
1459,35,Elie,Okobo,33,ASM,AS Monaco,G,1,12.4,501.00,881,9,437,144,65,37,6,6,147,147.00,319,319.00,42,42.00,108,108.00,101,101.00,115,115.00,4,61,63,74,108,81,46.1,38.9,87.8,elie-okobo
