name,team,pos,price,min_proj,pts,reb,ast,stl,blk,tov
Omer Mayer,MTA,G,0.0,8.25,21.0,5.0,16.0,3.0,0.0,12.0
Levi Randolph,MTA,F,0.0,27.73,396.0,126.0,58.0,20.0,0.0,39.0
William Rayman,MTA,F,0.0,11.39,86.0,102.0,5.0,6.0,4.0,6.0
Marial Shayok,MTA,G,0.0,15.1,114.0,41.0,20.0,14.0,0.0,11.0
Jimmy Clark Iii,MTA,G,0.0,19.0,80.0,19.0,32.0,9.0,1.0,20.0
Tyler Dorsey,OLY,G,4.0,10.1,66.0,19.0,21.0,4.0,1.0,19.0
Luca Vildoza,OLY,G,5.9,17.67,157.0,49.0,90.0,24.0,3.0,31.0
Nigel Williams-goss,OLY,G,9.3,22.91,302.0,74.0,119.0,26.0,2.0,63.0
Shaquielle Mckissic,OLY,G,5.8,16.42,288.0,82.0,62.0,20.0,1.0,38.0
Alec Peters,OLY,F,9.4,16.42,325.0,105.0,32.0,11.0,2.0,17.0
Kostas Papanikolaou,OLY,F,6.9,18.76,183.0,107.0,78.0,24.0,12.0,29.0
Sasha Vezenkov,OLY,F,21.2,30.39,751.0,248.0,70.0,36.0,7.0,41.0
Moustapha Fall,OLY,C,8.8,17.37,202.0,101.0,67.0,10.0,28.0,33.0
Giannoulis Larentzakis,OLY,G,4.0,7.0,45.0,23.0,21.0,4.0,1.0,6.0
Thomas Walkup,OLY,G,6.7,20.23,103.0,60.0,119.0,26.0,3.0,40.0
Naz Mitrou-long,OLY,G,4.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0
Nikola Milutinov,OLY,C,13.2,19.86,237.0,167.0,22.0,17.0,20.0,18.0
Moses Wright,OLY,C,6.3,12.83,105.0,46.0,11.0,9.0,7.0,19.0
Evan Fournier,OLY,G,12.9,25.78,595.0,82.0,95.0,40.0,5.0,68.0
Saben Lee,OLY,G,8.2,17.48,155.0,42.0,46.0,19.0,2.0,34.0
Lorenzo Brown,PAO,G,7.5,14.92,238.0,76.0,102.0,29.0,2.0,49.0
Marius Grigonis,PAO,G,4.0,11.5,12.0,3.0,4.0,0.0,1.0,3.0
Alexandros Samodurov,PAO,C,4.0,4.33,11.0,7.0,1.0,0.0,3.0,0.0
Panagiotis Kalaitzakis,PAO,F,4.0,7.34,57.0,25.0,12.0,15.0,1.0,11.0
Mathias Lessort,PAO,C,15.3,25.47,247.0,125.0,31.0,18.0,13.0,33.0
Ioannis Papapetrou,PAO,F,4.0,10.58,74.0,26.0,10.0,10.0,2.0,12.0
Kostas Sloukas,PAO,G,12.2,21.74,356.0,77.0,187.0,32.0,3.0,64.0
Tibor Pleiss,PAO,C,5.5,4.75,8.0,5.0,2.0,1.0,1.0,1.0
Jerian Grant,PAO,G,10.7,26.85,352.0,87.0,130.0,35.0,3.0,33.0
Konstantinos Mitoglou,PAO,F,6.9,16.15,234.0,114.0,24.0,18.0,4.0,23.0
Juancho Hernangomez,PAO,F,14.9,27.32,398.0,278.0,58.0,37.0,13.0,27.0
Dimitris Moraitis,PAO,G,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
Kendrick Nunn,PAO,G,17.4,30.82,802.0,141.0,166.0,39.0,9.0,113.0
Omer Yurtseven,PAO,C,9.1,14.58,260.0,124.0,18.0,12.0,22.0,42.0
Cedi Osman,PAO,F,10.4,19.82,375.0,104.0,26.0,18.0,6.0,25.0
Wenyen Gabriel,PAO,C,7.8,16.53,191.0,124.0,23.0,19.0,30.0,37.0
Balsa Koprivica,PAR,C,0.0,8.06,54.0,39.0,5.0,7.0,9.0,8.0
Iffe Lundberg,PAR,G,0.0,24.92,206.0,58.0,78.0,23.0,0.0,29.0
Brandon Davies,PAR,C,0.0,18.73,327.0,119.0,50.0,30.0,14.0,46.0
Vanja Marinkovic,PAR,F,0.0,22.9,154.0,34.0,25.0,12.0,2.0,14.0
Isaac Bonga,PAR,F,0.0,24.97,230.0,134.0,34.0,22.0,15.0,22.0
Tyrique Jones,PAR,C,0.0,22.62,371.0,193.0,33.0,34.0,21.0,53.0
Isiaha Mike,PAR,F,0.0,15.35,89.0,55.0,15.0,13.0,3.0,13.0
Mitar Bosnjakovic,PAR,F,0.0,9.0,10.0,4.0,3.0,3.0,0.0,1.0
Sterling Brown,PAR,G,0.0,25.76,422.0,102.0,71.0,27.0,6.0,48.0
Arijan Lakic,PAR,G,0.0,11.45,17.0,19.0,3.0,2.0,0.0,0.0
Aleksej Pokusevski,PAR,F,0.0,12.78,104.0,59.0,32.0,16.0,26.0,13.0
Duane Washington,PAR,G,0.0,14.58,145.0,21.0,33.0,8.0,0.0,17.0
Frank Ntilikina,PAR,G,0.0,19.9,146.0,35.0,43.0,13.0,0.0,14.0
Carlik Jones,PAR,G,0.0,26.97,480.0,109.0,182.0,33.0,4.0,61.0
Mario Nakic,PAR,F,0.0,8.58,25.0,12.0,3.0,3.0,1.0,3.0
Facundo Campazzo,RMB,G,0.0,25.74,467.0,119.0,234.0,40.0,2.0,91.0
Hugo Gonzalez,RMB,F,0.0,7.53,58.0,38.0,10.0,3.0,8.0,16.0
Walter Tavares,RMB,C,0.0,23.28,408.0,263.0,46.0,27.0,48.0,82.0
Gabriel Deck,RMB,F,0.0,23.39,223.0,90.0,39.0,13.0,5.0,29.0
Dzanan Musa,RMB,F,0.0,21.8,427.0,101.0,70.0,15.0,5.0,61.0
Eli Ndiaye,RMB,C,0.0,13.96,89.0,61.0,12.0,15.0,2.0,6.0
Sergio Llull,RMB,G,0.0,17.1,265.0,56.0,87.0,15.0,0.0,28.0
Mario Hezonja,RMB,F,0.0,27.05,565.0,201.0,58.0,31.0,5.0,59.0
Alberto Abalde,RMB,F,0.0,18.87,229.0,92.0,66.0,19.0,0.0,20.0
Andres Feliz,RMB,G,0.0,14.18,158.0,60.0,52.0,24.0,3.0,22.0
Serge Ibaka,RMB,C,0.0,12.31,180.0,93.0,19.0,5.0,15.0,36.0
Usman Garuba,RMB,F,0.0,14.11,106.0,84.0,15.0,16.0,12.0,17.0
Sidi Gueye,RMB,C,0.0,1.67,2.0,0.0,0.0,0.0,0.0,1.0
Xavier Rathan-mayes,RMB,G,0.0,11.96,121.0,21.0,32.0,11.0,1.0,26.0
Declan Duru,RMB,F,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Fernando,RMB,C,0.0,13.92,60.0,36.0,7.0,5.0,4.0,17.0
Achille Polonara,VIR,F,0.0,16.24,158.0,93.0,29.0,15.0,14.0,16.0
Tornike Shengelia,VIR,F,0.0,27.46,436.0,139.0,75.0,19.0,10.0,71.0
Daniel Hackett,VIR,G,0.0,15.52,77.0,61.0,54.0,11.0,0.0,28.0
Marco Belinelli,VIR,G,0.0,13.73,185.0,14.0,27.0,9.0,1.0,18.0
Alessandro Pajola,VIR,G,0.0,23.6,164.0,72.0,123.0,35.0,4.0,38.0
Isaia Cordinier,VIR,G,0.0,26.91,409.0,132.0,132.0,23.0,9.0,69.0
Ante Zizic,VIR,C,0.0,16.48,201.0,95.0,8.0,8.0,16.0,21.0
Will Clyburn,VIR,F,0.0,27.42,330.0,113.0,57.0,26.0,5.0,34.0
Nicola Akele,VIR,F,0.0,9.71,51.0,26.0,1.0,5.0,1.0,5.0
Andrejs Grazulis,VIR,F,0.0,13.05,104.0,29.0,11.0,4.0,3.0,11.0
Matthew Morgan,VIR,G,0.0,18.65,266.0,59.0,87.0,18.0,1.0,34.0
Mouhamet Diouf,VIR,C,0.0,15.84,193.0,97.0,13.0,20.0,12.0,21.0
Justin Holiday,VIR,G,0.0,15.44,37.0,19.0,5.0,6.0,2.0,8.0
Edgaras Ulanovas,ZAL,F,0.0,22.35,223.0,97.0,62.0,17.0,2.0,31.0
Arnas Butkevicius,ZAL,F,0.0,22.0,147.0,122.0,38.0,34.0,10.0,24.0
Ignas Brazdeikis,ZAL,G,0.0,17.66,237.0,93.0,41.0,10.0,4.0,27.0
Laurynas Birutis,ZAL,C,0.0,13.03,180.0,93.0,12.0,5.0,17.0,24.0
Lukas Lekavicius,ZAL,G,0.0,6.93,30.0,4.0,7.0,3.0,0.0,10.0
Dovydas Giedraitis,ZAL,G,0.0,24.0,174.0,53.0,57.0,19.0,2.0,32.0
Alen Smailagic,ZAL,F,0.0,15.0,236.0,84.0,12.0,13.0,18.0,27.0
Bryant Dunston,ZAL,C,0.0,15.71,139.0,113.0,29.0,17.0,17.0,19.0
Deividas Sirvydis,ZAL,F,0.0,16.53,286.0,90.0,27.0,16.0,3.0,37.0
Matthew Mitchell,ZAL,F,0.0,14.38,94.0,68.0,27.0,8.0,1.0,24.0
Sylvain Francisco,ZAL,G,0.0,25.5,495.0,90.0,154.0,32.0,12.0,100.0
Brady Manek,ZAL,F,0.0,8.92,79.0,29.0,8.0,5.0,1.0,7.0
Mantas Juzenas,ZAL,G,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
Dovydas Buika,ZAL,G,0.0,1.5,0.0,0.0,1.0,1.0,0.0,0.0
Isaiah Wong,ZAL,G,0.0,12.29,45.0,9.0,7.0,4.0,2.0,5.0
Kevarrius Hayes,PBB,C,0.0,20.24,246.0,173.0,18.0,37.0,32.0,34.0
Daulton Hommes,PBB,F,0.0,12.17,26.0,12.0,4.0,4.0,1.0,2.0
Yakuba Ouattara,PBB,G,0.0,14.86,157.0,62.0,11.0,14.0,2.0,16.0
Maodo Lo,PBB,G,0.0,17.17,291.0,44.0,62.0,13.0,1.0,39.0
Nadir Hifi,PBB,G,0.0,19.97,574.0,79.0,51.0,23.0,0.0,57.0
Mikael Jantunen,PBB,C,0.0,25.53,285.0,184.0,39.0,27.0,8.0,18.0
Leon Kratzer,PBB,C,0.0,9.52,17.0,64.0,5.0,8.0,7.0,21.0
Sebastian Herrera,PBB,G,0.0,11.88,68.0,18.0,9.0,6.0,0.0,2.0
Bandja Sy,PBB,F,0.0,13.51,108.0,72.0,13.0,14.0,11.0,16.0
Tyson Ward,PBB,F,0.0,26.34,418.0,188.0,50.0,36.0,7.0,38.0
Collin Malcolm,PBB,F,0.0,18.94,253.0,83.0,39.0,12.0,5.0,24.0
Tj Shorts,PBB,G,0.0,27.32,704.0,96.0,271.0,37.0,2.0,83.0
Leopold Cavaliere,PBB,F,0.0,10.94,102.0,98.0,15.0,9.0,0.0,19.0
Mathis Dossou-yovo,PBB,F,0.0,7.5,4.0,6.0,0.0,0.0,0.0,0.0
